Temperature,RMS,Peak,Health,Efficiency,Status,FaultType
38.24,0.422,0.66,64.1,88.5,WARNING,Bearing
31.13,0.244,0.367,83.6,95.6,HEALTHY,Healthy
34.86,0.3,0.453,79.9,94.6,HEALTHY,Healthy
34.35,0.291,0.439,80.5,94.8,HEALTHY,Healthy
33.83,0.242,0.368,83.7,95.6,HEALTHY,Healthy
34.61,0.236,0.358,84.1,95.7,HEALTHY,Healthy
28.37,0.251,0.384,83.1,95.5,HEALTHY,Healthy
37.6,0.342,0.526,71.1,90.7,WARNING,Bearing
34.93,0.24,0.365,83.8,95.7,HEALTHY,Healthy
29.82,0.162,0.248,89.1,97.1,HEALTHY,Healthy
30.78,0.186,0.284,87.4,96.6,HEALTHY,Healthy
40.57,0.395,0.608,61.0,86.2,WARNING,Bearing
31.05,0.204,0.311,86.3,96.3,HEALTHY,Healthy
42.77,0.35,0.567,58.7,84.4,WARNING,Misalignment
28.31,0.191,0.293,87.1,96.6,HEALTHY,Healthy
46.83,0.569,0.888,35.3,75.6,CRITICAL,Bearing
39.76,0.343,0.528,66.3,88.1,WARNING,Bearing
54.88,0.694,1.264,5.8,63.7,CRITICAL,Critical
31.03,0.21,0.32,85.8,96.2,HEALTHY,Healthy
50.53,0.711,1.208,15.6,68.6,CRITICAL,Critical
30.57,0.192,0.294,87.0,96.5,HEALTHY,Healthy
30.46,0.298,0.45,80.0,94.6,HEALTHY,Healthy
37.67,0.576,0.857,55.6,86.4,WARNING,Imbalance
34.5,0.29,0.439,80.5,94.8,HEALTHY,Healthy
35.88,0.22,0.333,83.3,95.0,HEALTHY,Healthy
35.45,0.194,0.296,85.9,96.0,HEALTHY,Healthy
32.56,0.26,0.393,82.5,95.3,HEALTHY,Healthy
41.36,0.4,0.619,58.9,85.2,WARNING,Bearing
35.04,0.28,0.422,81.1,94.9,HEALTHY,Healthy
34.36,0.275,0.415,81.5,95.0,HEALTHY,Healthy
32.08,0.24,0.363,83.9,95.7,HEALTHY,Healthy
33.33,0.173,0.264,88.3,96.9,HEALTHY,Healthy
42.52,0.384,0.615,57.0,84.1,WARNING,Misalignment
41.34,0.391,0.597,59.7,85.4,WARNING,Bearing
30.56,0.255,0.385,82.9,95.4,HEALTHY,Healthy
28.89,0.27,0.408,81.9,95.1,HEALTHY,Healthy
30.26,0.23,0.349,84.5,95.9,HEALTHY,Healthy
34.44,0.289,0.436,80.6,94.8,HEALTHY,Healthy
37.17,0.316,0.491,73.8,91.7,WARNING,Bearing
42.12,0.398,0.638,56.9,84.3,WARNING,Misalignment
34.32,0.248,0.374,83.4,95.5,HEALTHY,Healthy
28.07,0.228,0.345,84.6,95.9,HEALTHY,Healthy
52.83,0.66,1.16,13.5,66.7,CRITICAL,Critical
29.77,0.213,0.323,85.7,96.2,HEALTHY,Healthy
33.44,0.164,0.251,88.9,97.0,HEALTHY,Healthy
37.02,0.609,0.905,54.9,86.6,WARNING,Imbalance
47.45,0.579,0.938,32.6,74.6,CRITICAL,Bearing
40.63,0.406,0.648,59.7,85.9,WARNING,Misalignment
34.84,0.302,0.457,79.7,94.6,HEALTHY,Healthy
34.73,0.249,0.375,83.3,95.5,HEALTHY,Healthy
34.57,0.202,0.305,86.5,96.4,HEALTHY,Healthy
32.76,0.243,0.367,83.7,95.6,HEALTHY,Healthy
35.28,0.157,0.244,88.7,96.8,HEALTHY,Healthy
30.95,0.167,0.253,88.8,97.0,HEALTHY,Healthy
39.94,0.576,0.863,50.6,83.7,WARNING,Imbalance
29.7,0.199,0.302,86.6,96.4,HEALTHY,Healthy
37.03,0.375,0.576,70.2,90.8,WARNING,Bearing
34.7,0.234,0.353,84.3,95.8,HEALTHY,Healthy
28.78,0.221,0.337,85.1,96.0,HEALTHY,Healthy
28.12,0.269,0.404,82.0,95.2,HEALTHY,Healthy
33.44,0.165,0.251,88.9,97.0,HEALTHY,Healthy
29.17,0.235,0.355,84.2,95.8,HEALTHY,Healthy
32.24,0.18,0.275,87.9,96.8,HEALTHY,Healthy
34.08,0.233,0.353,84.3,95.8,HEALTHY,Healthy
39.9,0.391,0.605,62.7,87.1,WARNING,Bearing
33.72,0.193,0.293,87.0,96.5,HEALTHY,Healthy
30.0,0.289,0.437,80.6,94.8,HEALTHY,Healthy
40.3,0.321,0.496,66.6,87.9,WARNING,Bearing
32.02,0.249,0.377,83.2,95.5,HEALTHY,Healthy
30.46,0.232,0.35,84.4,95.8,HEALTHY,Healthy
